id,Description,RFQ_Description,Color,Basis_WT,M_Weight,Basic_Area,Caliper,Size_Width,Size_Length,Supplier_ID,Supplier_Name,Suplier_Item,Costing_Method,Primary_Valuation,_GL_Expense_Code,UserDefined_1,UserDefined_2,UserDefined_3,Unit_Cost,PO_Unit_Cost
1110290,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,80,146,6,0.0076,19,25,10259,Spicers US,1110290,2,1,4510.02,,9000,Updated_Prices_6_21_RF,106.348736,103.2512
1110291,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,80,160,6,0.0076,20,26,10259,Spicers US,1110291,2,1,4510.02,,9000,Updated_Prices_6_21_RF,116.54656,113.152
1110293,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,80,320,6,0.0076,26,40,10259,Spicers US,1110293,2,1,4510.02,,4500,Updated_Prices_6_21_RF,233.09312,226.304
1110294,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,80,345,6,0.0076,28,40,10259,Spicers US,1110294,2,1,4510.02,,4500,Updated_Prices_6_21_RF,251.30352,243.984
1110295,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,100,200,6,0.0099,20,26,10259,Spicers US,1110295,2,1,4510.02,,8000,Updated_Prices_6_21_RF,145.6832,141.44
1110296,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,100,400,6,0.0099,26,40,10259,Spicers US,1110296,2,1,4510.02,,4000,Updated_Prices_6_21_RF,291.3664,282.88
1110297,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,100,431,6,0.0099,28,40,10259,Spicers US,1110297,2,1,4510.02,,4000,Updated_Prices_6_21_RF,313.947296,304.8032
1110298,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,130,260,6,0.0126,20,26,10259,Spicers US,1110298,2,1,4510.02,,6000,Updated_Prices_6_21_RF,189.38816,183.872
1110299,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,130,475,6,0.0126,25,38,10259,Spicers US,1110299,2,1,4510.02,,3000,Updated_Prices_6_21_RF,345.9976,335.92
1110300,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,130,520,6,0.0126,26,40,10259,Spicers US,1110300,2,1,4510.02,,3000,Updated_Prices_6_21_RF,378.77632,367.744
1110301,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,130,560,6,0.0126,28,40,10259,Spicers US,1110301,2,1,4510.02,,3000,Updated_Prices_6_21_RF,407.91296,396.032
1110345,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,80,214,6,0.0076,24,29,10259,Spicers US,1110345,2,1,4510.02,,4500,Updated_Prices_6_21_RF,155.881024,151.3408
1110346,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,80,253,6,0.0076,23.5,35,10259,Spicers US,1110346,2,1,4510.02,,4500,Updated_Prices_6_21_RF,184.289248,178.9216
1110347,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,80,298,6,0.0076,25.5,38,10259,Spicers US,1110347,2,1,4510.02,,4500,Updated_Prices_6_21_RF,217.067968,210.7456
1110348,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,100,183,6,0.0099,19,25,10259,Spicers US,1110348,2,1,4510.02,,8000,Updated_Prices_6_21_RF,133.300128,129.4176
1110349,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,100,262,6,0.0099,23.5,29,10259,Spicers US,1110349,2,1,4510.02,,4000,Updated_Prices_6_21_RF,190.844992,185.2864
1110350,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,100,268,6,0.0099,24,29,10259,Spicers US,1110350,2,1,4510.02,,4000,Updated_Prices_6_21_RF,195.215488,189.5296
1110351,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,100,316,6,0.0099,23.5,35,10259,Spicers US,1110351,2,1,4510.02,,4000,Updated_Prices_6_21_RF,230.179456,223.4752
1110352,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,100,332,6,0.0099,24,36,10259,Spicers US,1110352,2,1,4510.02,,4000,Updated_Prices_6_21_RF,241.834112,234.7904
1110353,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,100,373,6,0.0099,25.5,38,10259,Spicers US,1110353,2,1,4510.02,,4000,Updated_Prices_6_21_RF,271.699168,263.7856
1110354,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,130,411,6,0.0126,23.5,35,10259,Spicers US,1110354,2,1,4510.02,,3000,Updated_Prices_6_21_RF,299.378976,290.6592
1110397,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,63,199,6,0.0055,23.5,35,10259,Spicers US,1110397,2,1,4510.02,,6000,Updated_Prices_6_21_RF,144.954784,140.7328
1110398,ChorusArt Cover Gloss,ChorusArt Cover Gloss,White,63,235,6,0.0055,25.5,38,10259,Spicers US,1110398,2,1,4510.02,,6000,Updated_Prices_6_21_RF,171.17776,166.192
