Unused,Stock_Number,Stock_Name,M_Weight,Price
,1200728,Tango C1S Cover Digital & Cut Sizes,26,49.852
,1200731,Tango C2S Cover Digital & Cut Sizes,30,44.496
,1200732,Tango C2S Cover Digital & Cut Sizes,35,76.1891
,1201051,Tango C1S Cover,436,455.8162
,1201052,Tango C1S Cover,404,422.3618
,1201053,Tango C1S Cover,369,385.77105
,1201054,Tango C1S Cover,313,327.22585
,1201055,Tango C1S Cover,259,270.77155
,1201056,Tango C1S Cover,185,193.40825
,1201057,Tango C1S Cover,202,211.1809
,1201058,Tango C1S Cover,635,657.32025
,1201059,Tango C1S Cover,590,610.7385
,1201060,Tango C1S Cover,539,557.94585
,1201061,Tango C1S Cover,457,473.06355
,1201062,Tango C1S Cover,378,391.2867
,1201063,Tango C1S Cover,269,278.45535
,1201064,Tango C1S Cover,295,305.36925
,1201065,Tango C1S Cover,506,528.9977
,1201066,Tango C1S Cover,469,490.31605
,1201067,Tango C1S Cover,429,448.49805
,1201068,Tango C1S Cover,363,379.49835
,1201069,Tango C1S Cover,301,314.68045
,1201071,Tango C1S Cover,214,223.7263
,1201072,Tango C1S Cover,235,245.68075
,1201093,Tango C1S Cover,275,284.66625
,1201101,Tango C1S Cover,363,390.71505
,1201102,Tango C1S Cover,337,362.72995
,1201103,Tango C1S Cover,308,331.5158
,1201104,Tango C1S Cover,261,280.92735
,1201105,Tango C1S Cover,216,232.4916
,1201106,Tango C1S Cover,169,181.90315
,1201108,Tango C1S Cover,154,165.7579
,1201109,Tango C1S Cover,311,339.5498
,1201110,Tango C1S Cover,289,315.5302
,1201111,Tango C1S Cover,224,244.5632
,1201112,Tango C1S Cover,185,201.983
,1201113,Tango C1S Cover,144,157.2192
,1201114,Tango C1S Cover,132,144.1176
,1201115,Tango C1S Cover,280,330.218
,1201117,Tango C1S Cover,238,280.6853
,1201118,Tango C1S Cover,201,237.04935
,1201119,Tango C1S Cover,130,153.3155
,1201120,Tango C1S Cover,119,140.34265
,1201143,Tango C1S Cover,311,339.5498
,1201145,Tango C1S Cover,261,280.92735
,1201151,Tango C1S Cover,313,327.22585
,1201161,Tango C1S Cover,132,144.1176
,1201164,Tango C2S Cover,713,862.90825
,1201165,Tango C2S Cover,662,801.1855
,1201166,Tango C2S Cover,605,732.20125
,1201167,Tango C2S Cover,512,619.648
,1201168,Tango C2S Cover,302,365.4955
,1201169,Tango C2S Cover,550,665.6375
,1201170,Tango C2S Cover,510,617.2275
,1201171,Tango C2S Cover,466,563.9765
,1201172,Tango C2S Cover,395,478.04875
,1201173,Tango C2S Cover,233,281.98825
,1201174,Tango C2S Cover,506,612.3865
,1201175,Tango C2S Cover,469,567.60725
,1201176,Tango C2S Cover,429,519.19725
,1201177,Tango C2S Cover,363,439.32075
,1201178,Tango C2S Cover,214,258.9935
,1201179,Tango C2S Cover,467,565.18675
,1201180,Tango C2S Cover,433,524.03825
,1201181,Tango C2S Cover,396,479.259
,1201182,Tango C2S Cover,335,405.43375
,1201183,Tango C2S Cover,198,239.6295
,1201184,Tango C2S Cover,415,485.15575
,1201185,Tango C2S Cover,385,450.08425
,1201186,Tango C2S Cover,352,411.5056
,1201187,Tango C2S Cover,298,348.3769
,1201189,Tango C2S Cover,193,225.62665
,1201190,Tango C2S Cover,176,205.7528
,1201191,Tango C2S Cover,358,424.051
,1201192,Tango C2S Cover,332,393.254
,1201193,Tango C2S Cover,303,358.9035
,1201194,Tango C2S Cover,257,304.4165
,1201196,Tango C2S Cover,166,196.627
,1201197,Tango C2S Cover,152,180.044
,1201241,Tango C1S Cover,363,390.71505
,1201242,Tango C1S Cover,349,375.64615
,1201243,Tango C1S Cover,308,331.5158
,1201244,Tango C1S Cover,175,188.36125
,1201245,Tango C1S Cover,154,165.7579
,1201246,Tango C1S Cover,264,288.2352
,1201247,Tango C1S Cover,224,244.5632
,1201249,Tango C1S Cover,132,144.1176
,1201254,Tango C1S Cover Digital & Cut Sizes,75,81.885
,1201264,Tango C1S Cover,264,288.2352
,1201277,Tango C2S Cover Digital & Cut Sizes,104,154.2528
,1201284,Tango C2S Cover,467,565.18675
,1201315,Tango C2S Cover,510,617.2275
,1201419,Tango C1S Wideformat,1493,2175.97285
,1201421,Tango C1S Wideformat,2.613,3.808322
,1201422,Tango C1S Wideformat,4.083,5.9507632
,1201423,Tango C2S Wideformat,1.707,2.6021508
,1201426,Tango C2S Wideformat,4.583,6.9863252
,1201514,Tango C2S Wideformat,5.333,7.8549757
,1201755,Tango C2S Cover,380,459.895
,1201878,Tango C1S Cover,211,248.84285
,1202087,Tango C2S Wideformat,2.933,4.4710652
,1202200,Tango C2S Wideformat,2.347,3.4568963
,1202231,Tango C2S Cover,629,761.24725
,1202232,Tango C2S Cover,528,639.012
,1202233,Tango C2S Cover,578,699.5245
,1202234,Tango C2S Cover,622,752.7755
,1202235,Tango C2S Cover,395,478.04875
,1202236,Tango C2S Cover,484,585.761
,1202237,Tango C2S Cover,570,689.8425
,1202238,Tango C2S Cover,446,539.7715
,1202239,Tango C2S Cover,489,591.81225
,1202240,Tango C2S Cover,506,612.3865
,1202241,Tango C2S Cover,413,499.83325
,1202242,Tango C2S Cover,453,548.24325
,1202246,Tango C2S Cover,689,833.86225
,1202312,Tango C1S Cover,235,245.68075
,1202413,Tango C2S Cover,510,617.2275
,1202419,Tango C1S Cover Digital & Cut Sizes,52,69.628
,1202420,Tango C1S Cover Digital & Cut Sizes,60,115.0304
,1202421,Tango C1S Cover Digital & Cut Sizes,69,132.2932
,1202425,Tango C1S Cover Digital & Cut Sizes,70,93.73
,1202426,Tango C1S Cover Digital & Cut Sizes,80,107.12
,1202428,Tango C1S Cover Digital & Cut Sizes,79,105.781
,1202429,Tango C1S Cover Digital & Cut Sizes,90,120.51
,1202430,Tango C1S Cover Digital & Cut Sizes,89,119.171
,1202431,Tango C1S Cover Digital & Cut Sizes,102,136.578
,1202432,Tango C2S Cover Digital & Cut Sizes,60,88.992
,1202433,Tango C2S Cover Digital & Cut Sizes,69,102.3408
,1202434,Tango C2S Cover Digital & Cut Sizes,79,117.1728
,1202437,Tango C2S Cover Digital & Cut Sizes,69,102.3408
,1202438,Tango C2S Cover Digital & Cut Sizes,80,118.656
,1202439,Tango C2S Cover Digital & Cut Sizes,91,134.9712
,1202440,Tango C2S Cover Digital & Cut Sizes,104,154.2528
,1202441,Tango C2S Cover Digital & Cut Sizes,90,133.488
,1202442,Tango C2S Cover Digital & Cut Sizes,103,152.7696
,1202443,Tango C2S Cover Digital & Cut Sizes,117,173.5344
,1202444,Tango C2S Cover Digital & Cut Sizes,98,145.3536
,1202445,Tango C2S Cover Digital & Cut Sizes,111,164.6352
,1202455,Tango C1S Cover,264,288.2352
,1202464,Tango C1S Cover,202,211.1809
,1202465,Tango C1S Cover,313,327.22585
,1202466,Tango C1S Cover,369,385.77105
,1202467,Tango C1S Cover,404,422.3618
,1202468,Tango C1S Cover,436,455.8162
,1202470,Tango C1S Cover,429,448.49805
,1202471,Tango C1S Cover,469,490.31605
,1202472,Tango C1S Cover,506,528.9977
,1202474,Tango C1S Cover,457,473.06355
,1202491,Tango C2S Cover,395,478.04875
,1202514,Tango C2S Cover,512,619.648
,1202722,Tango C2S Wideformat,3.533,5.3857052
,1202728,Tango C2S Cover,713,862.90825
,1203065,Tango C1S Wideformat,3250,4736.7125
,1203156,Tango C2S Cover,585,707.99625
,1203221,Tango C2S Cover,484,585.761
,1203283,Tango C1S Cover Recycled,289,509.4071
,1203585,Tango C1S Cover,218,369.4404
,1204037,Tango C2S Cover,308,372.757
,1205898,Tango C1S Wideformat,2.08,3.031496
,1206628,Tango C1S Cover Digital & Cut Sizes,98,131.222
,1206629,Tango C1S Cover Digital & Cut Sizes,111,148.629
,1206632,Tango C2S Cover Digital & Cut Sizes,106,157.2192
,1206633,Tango C2S Cover Digital & Cut Sizes,121,179.4672
,1207404,Tango C1S Cover Digital & Cut Sizes,171,312.9758
,1207405,Tango C1S Cover Digital & Cut Sizes,199,364.2183
,1207439,Tango C2S Wideformat,2.261,3.4466684
,1207638,Tango C2S Wideformat,5.333,9167
,1207641,Tango C2S Wideformat,2.933,4.4710652
,1208370,Tango C1S Cover Digital & Cut Sizes,225,411.8146
,1208371,Tango C1S Cover Digital & Cut Sizes,253,463.0571
,1208372,Tango C1S Cover Digital & Cut Sizes,277,506.9763
,1208375,Tango C2S Cover Digital & Cut Sizes,256,535.1365
,1208376,Tango C2S Cover Digital & Cut Sizes,277,579.0454
,1208377,Tango C2S Cover Digital & Cut Sizes,301,629.2064
,7002051,Tango C1S Wideformat,,73.1197
